DV,模型,n,B_group,SE_group,t_group,p_group,R²,Adj.R²,F
acc_total,模型A：仅AI使用频率,106,0.061,0.028,2.138,.035*,0.164,0.139,"F(3,102)=6.661"
acc_total,模型B：仅AI熟悉度,106,0.055,0.029,1.917,.058,0.166,0.141,"F(3,102)=6.748"
acc_total,模型C：综合分,106,0.056,0.028,2.001,.048*,0.178,0.154,"F(3,102)=7.380"
dprime,模型A：仅AI使用频率,106,0.322,0.155,2.078,.040*,0.170,0.145,"F(3,102)=6.950"
dprime,模型B：仅AI熟悉度,106,0.293,0.157,1.870,.064,0.164,0.139,"F(3,102)=6.666"
dprime,模型C：综合分,106,0.299,0.154,1.936,.056,0.180,0.156,"F(3,102)=7.477"
calibration_gap,模型A：仅AI使用频率,106,-0.009,0.039,-0.230,.819,0.014,-0.015,"F(3,102)=0.476"
calibration_gap,模型B：仅AI熟悉度,106,-0.005,0.039,-0.132,.895,0.006,-0.023,"F(3,102)=0.221"
calibration_gap,模型C：综合分,106,-0.005,0.039,-0.138,.890,0.016,-0.013,"F(3,102)=0.547"
